model,method,seed,regime,n_pivots,n_texts,auc,tpr_at_1pct_fpr,tpr_at_10pct_fpr,tpr_at_tau_unattacked,fpr_at_tau_unattacked,f1_at_1pct_fpr,f1_at_10pct_fpr,hm_99th_pct,tau_unattacked_proxy,tau_adaptive_null,calibration_drift,observed_fpr_at_tau_proxy,extra
aya-23-8B,kgw,0,single_pivot_ref,1,500,0.9760439999999999,0.582,0.932,0.58,0.01,0.7311557788944723,0.9182266009852218,2.8532062694553524,2.8532062694553524,0.6342052415343471,-2.2190010279210055,0.0,
aya-23-8B,kgw,0,single_pivot_mean,1,500,0.9746298,0.5696,0.9398000000000002,0.5424,0.008400000000000001,0.7191585390954662,0.9216831688805376,2.751599024469643,2.8532062694553524,0.6342052415343471,-2.2190010279210055,0.0,
aya-23-8B,kgw,0,single_pivot_worst,1,500,0.9672839999999999,0.504,0.892,0.5,0.01,0.665785997357992,0.895582329317269,2.8415279238797186,2.8532062694553524,0.6342052415343471,-2.2190010279210055,0.0,ta
aya-23-8B,kgw,0,adaptive_min,10,500,0.998108,0.994,1.0,0.172,0.0,0.9920159680638723,0.9920634920634921,0.6342052415343471,2.8532062694553524,0.6342052415343471,-2.2190010279210055,0.0,
