model,method,seed,regime,n_pivots,n_texts,auc,tpr_at_1pct_fpr,tpr_at_10pct_fpr,tpr_at_tau_unattacked,fpr_at_tau_unattacked,f1_at_1pct_fpr,f1_at_10pct_fpr,hm_99th_pct,tau_unattacked_proxy,tau_adaptive_null,calibration_drift,observed_fpr_at_tau_proxy,extra
aya-23-8B,kgw,0,single_pivot_ref,1,500,0.9760439999999999,0.582,0.932,0.58,0.01,0.7311557788944723,0.9182266009852218,2.8532062694553524,2.8532062694553524,-0.44432486952713435,-3.2975311389824866,0.0,
aya-23-8B,kgw,0,single_pivot_mean,1,500,0.9793213617021275,0.6345531914893616,0.9516170212765958,0.6088510638297873,0.008808510638297873,0.7693485804916955,0.9283961139247452,2.746935802994613,2.8532062694553524,-0.44432486952713435,-3.2975311389824866,0.0,
aya-23-8B,kgw,0,single_pivot_worst,1,500,0.9672839999999999,0.504,0.892,0.5,0.01,0.665785997357992,0.895582329317269,2.8415279238797186,2.8532062694553524,-0.44432486952713435,-3.2975311389824866,0.0,ta
aya-23-8B,kgw,0,adaptive_min,47,500,1.0,1.0,1.0,0.13,0.0,1.0,1.0,-0.44432486952713435,2.8532062694553524,-0.44432486952713435,-3.2975311389824866,0.0,
