budget,P,B,lang,resource_tier,status,n_verify_lang,naive_fpr_lang_pct,naive_fpr_lang_pct_low,naive_fpr_lang_pct_high,naive_fpr_lang_pct_actual,naive_fpr_lang_overall_pct,naive_fpr_lang_overall_pct_low,naive_fpr_lang_overall_pct_high,naive_fpr_lang_overall_pct_actual,fpr_at_global_tau_pct,fpr_at_global_tau_pct_low,fpr_at_global_tau_pct_high,fpr_at_global_tau_pct_actual,tau_lang,tau_lang_low,tau_lang_high,tau_lang_actual
fixed,126,20,de,high,measured,250,27.6,27.6,27.6,27.6,24.2,24.2,24.2,24.2,1.6,1.6,1.6,1.6,3.451,3.451,3.451,3.451
fixed,126,20,it,high,measured,250,27.6,27.6,27.6,27.6,26.0,26.0,26.0,26.0,1.2,1.2,1.2,1.2,3.776,3.776,3.776,3.776
fixed,126,20,es,high,measured,250,25.2,25.2,25.2,25.2,25.6,25.6,25.6,25.6,0.4,0.4,0.4,0.4,3.868,3.868,3.868,3.868
fixed,126,20,pt,high,measured,250,24.8,24.8,24.8,24.8,26.4,26.4,26.4,26.4,1.6,1.6,1.6,1.6,4.018,4.018,4.018,4.018
fixed,126,20,pl,medium,measured,250,30.8,30.8,30.8,30.8,30.2,30.2,30.2,30.2,1.2,1.2,1.2,1.2,3.758,3.758,3.758,3.758
fixed,126,20,nl,medium,measured,250,26.0,26.0,26.0,26.0,27.0,27.0,27.0,27.0,0.4,0.4,0.4,0.4,3.578,3.578,3.578,3.578
fixed,126,20,ru,medium,measured,250,27.6,27.6,27.6,27.6,28.2,28.2,28.2,28.2,0.4,0.4,0.4,0.4,3.761,3.761,3.761,3.761
fixed,126,20,hi,medium,measured,250,27.2,27.2,27.2,27.2,27.6,27.6,27.6,27.6,1.2,1.2,1.2,1.2,3.926,3.926,3.926,3.926
fixed,126,20,ko,medium,measured,250,21.6,21.6,21.6,21.6,27.6,27.6,27.6,27.6,1.2,1.2,1.2,1.2,3.756,3.756,3.756,3.756
fixed,126,20,ja,medium,measured,250,27.6,27.6,27.6,27.6,26.8,26.8,26.8,26.8,1.2,1.2,1.2,1.2,3.755,3.755,3.755,3.755
fixed,126,20,bn,low,measured,250,27.6,27.6,27.6,27.6,27.4,27.4,27.4,27.4,1.6,1.6,1.6,1.6,3.556,3.556,3.556,3.556
fixed,126,20,fa,low,measured,250,20.8,20.8,20.8,20.8,24.6,24.6,24.6,24.6,0.8,0.8,0.8,0.8,3.755,3.755,3.755,3.755
fixed,126,20,vi,low,measured,250,24.0,24.0,24.0,24.0,23.4,23.4,23.4,23.4,0.4,0.4,0.4,0.4,4.065,4.065,4.065,4.065
fixed,126,20,iw,low,measured,250,26.8,26.8,26.8,26.8,27.0,27.0,27.0,27.0,0.0,0.0,0.0,0.0,3.797,3.797,3.797,3.797
fixed,126,20,uk,low,measured,250,26.0,26.0,26.0,26.0,26.2,26.2,26.2,26.2,1.6,1.6,1.6,1.6,3.677,3.677,3.677,3.677
