model,method,seed,regime,n_pivots,n_texts,auc,tpr_at_1pct_fpr,tpr_at_10pct_fpr,tpr_at_tau_unattacked,fpr_at_tau_unattacked,f1_at_1pct_fpr,f1_at_10pct_fpr,hm_99th_pct,tau_unattacked_proxy,tau_adaptive_null,calibration_drift,observed_fpr_at_tau_proxy,extra
aya-23-8B,kgw,0,single_pivot_ref,1,500,0.9760439999999999,0.582,0.932,0.58,0.01,0.7311557788944723,0.9182266009852218,2.8532062694553524,2.8532062694553524,0.417409292745133,-2.435796976710219,0.0,
aya-23-8B,kgw,0,single_pivot_mean,1,500,0.9745093999999999,0.5595999999999999,0.9382000000000001,0.5404000000000001,0.0094,0.7112093004844232,0.9212944599138686,2.776918418117968,2.8532062694553524,0.417409292745133,-2.435796976710219,0.0,
aya-23-8B,kgw,0,single_pivot_worst,1,500,0.9672839999999999,0.504,0.892,0.5,0.01,0.665785997357992,0.895582329317269,2.8415279238797186,2.8532062694553524,0.417409292745133,-2.435796976710219,0.0,ta
aya-23-8B,kgw,0,adaptive_min,10,500,0.999648,0.998,1.0,0.172,0.0,0.9940239043824701,0.9940357852882703,0.417409292745133,2.8532062694553524,0.417409292745133,-2.435796976710219,0.0,
