target_language,optimization_type,strategy,best_languages,best_clusters,score,num_languages,language_selection_by_cluster
fa,simple,winner,"['smj', 'lmo', 'sms', 'cat', 'arg', 'nap', 'vep', 'ext', 'izh', 'por', 'krl', 'lij', 'pms', 'fin', 'mwl', 'smn', 'cos', 'ita', 'srd', 'udm', 'spa', 'hun', 'est', 'kpv', 'lad', 'ron', 'sme', 'fra', 'scn', 'ast', 'liv', 'myv', 'glg', 'mdf', 'vec', 'sma']","[4, 14]",5.240064673849917,36,
ko,simple,max_distance,"['krl', 'por', 'spa', 'scn', 'vep', 'sma', 'myv', 'cat', 'kpv', 'hun', 'est', 'ext', 'vec', 'liv', 'glg', 'ron', 'lmo', 'fin', 'ast', 'srd', 'udm', 'mdf', 'mwl', 'lad', 'arg', 'smn', 'cos', 'sme', 'izh', 'nap', 'pms', 'lij', 'sms', 'ita', 'fra', 'smj']","[4, 14]",1.0,36,
ko,simple,min_distance,"['krl', 'por', 'spa', 'scn', 'vep', 'sma', 'myv', 'cat', 'kpv', 'hun', 'est', 'ext', 'vec', 'liv', 'glg', 'ron', 'lmo', 'fin', 'ast', 'srd', 'udm', 'mdf', 'mwl', 'lad', 'arg', 'smn', 'cos', 'sme', 'izh', 'nap', 'pms', 'lij', 'sms', 'ita', 'fra', 'smj']","[4, 14]",0.0,36,
ko,simple,diversity,"['krl', 'por', 'spa', 'scn', 'vep', 'sma', 'myv', 'cat', 'kpv', 'hun', 'est', 'ext', 'vec', 'liv', 'glg', 'ron', 'lmo', 'fin', 'ast', 'srd', 'udm', 'mdf', 'mwl', 'lad', 'arg', 'smn', 'cos', 'sme', 'izh', 'nap', 'pms', 'lij', 'sms', 'ita', 'fra', 'smj']","[4, 14]",0.0,36,
ko,simple,gp_learning,"['krl', 'por', 'spa', 'scn', 'vep', 'sma', 'myv', 'cat', 'kpv', 'hun', 'est', 'ext', 'vec', 'liv', 'glg', 'ron', 'lmo', 'fin', 'ast', 'srd', 'udm', 'mdf', 'mwl', 'lad', 'arg', 'smn', 'cos', 'sme', 'izh', 'nap', 'pms', 'lij', 'sms', 'ita', 'fra', 'smj']","[4, 14]",5.25,36,
ko,simple,winner,"['krl', 'por', 'spa', 'scn', 'vep', 'sma', 'myv', 'cat', 'kpv', 'hun', 'est', 'ext', 'vec', 'liv', 'glg', 'ron', 'lmo', 'fin', 'ast', 'srd', 'udm', 'mdf', 'mwl', 'lad', 'arg', 'smn', 'cos', 'sme', 'izh', 'nap', 'pms', 'lij', 'sms', 'ita', 'fra', 'smj']","[4, 14]",5.25,36,
hi,simple,max_distance,"['myv', 'vep', 'aze', 'uzb', 'fin', 'smn', 'kaz', 'tur', 'sme', 'krl', 'udm', 'izh', 'est', 'sms', 'sma', 'hun', 'kir', 'mdf', 'uig', 'smj', 'liv', 'kpv']","[4, 8]",1.0,22,
hi,simple,min_distance,"['fas', 'urd', 'sin', 'mar', 'ben', 'tgk', 'guj', 'nep', 'ori', 'pan', 'asm']",[1],0.3685999999999999,11,
hi,simple,diversity,"['fas', 'urd', 'uig', 'sin', 'mar', 'ben', 'tgk', 'guj', 'nep', 'tur', 'kir', 'uzb', 'aze', 'ori', 'pan', 'kaz', 'asm']","[1, 8]",0.5489561279643489,17,
hi,simple,gp_learning,"['myv', 'vep', 'cat', 'mwl', 'vec', 'fin', 'smn', 'ron', 'lad', 'scn', 'por', 'sme', 'ita', 'krl', 'udm', 'srd', 'arg', 'pms', 'glg', 'spa', 'izh', 'est', 'sms', 'ast', 'sma', 'ext', 'nap', 'hun', 'fra', 'lij', 'lmo', 'mdf', 'cos', 'smj', 'liv', 'kpv']","[4, 14]",5.240804573271273,36,
hi,simple,winner,"['myv', 'vep', 'cat', 'mwl', 'vec', 'fin', 'smn', 'ron', 'lad', 'scn', 'por', 'sme', 'ita', 'krl', 'udm', 'srd', 'arg', 'pms', 'glg', 'spa', 'izh', 'est', 'sms', 'ast', 'sma', 'ext', 'nap', 'hun', 'fra', 'lij', 'lmo', 'mdf', 'cos', 'smj', 'liv', 'kpv']","[4, 14]",5.240804573271273,36,
fr,simple,max_distance,"['udm', 'myv', 'uzb', 'kir', 'tur', 'uig', 'mdf', 'sma', 'smj', 'krl', 'kaz', 'est', 'sme', 'izh', 'vep', 'hun', 'sms', 'smn', 'fin', 'kpv', 'aze', 'liv']","[4, 8]",1.0,22,
fr,simple,min_distance,"['mwl', 'ron', 'arg', 'vec', 'cos', 'scn', 'lad', 'por', 'spa', 'ita', 'srd', 'nap', 'pms', 'lij', 'ext', 'lmo', 'glg', 'ast', 'cat']",[14],0.5496631578947369,19,
fr,simple,diversity,"['mwl', 'udm', 'ron', 'myv', 'arg', 'vec', 'cos', 'scn', 'lad', 'mdf', 'sma', 'smj', 'krl', 'por', 'ita', 'spa', 'est', 'srd', 'sme', 'izh', 'vep', 'hun', 'sms', 'smn', 'nap', 'fin', 'pms', 'kpv', 'lij', 'ext', 'lmo', 'glg', 'ast', 'cat', 'liv']","[4, 14]",0.4374786713584396,35,
